,도로명,링크아이디,시점명,종점명,거리,차선수,평균속도,좌표
3218,양재대로,1220000500,개포3.4단지,구룡마을입구,610.0,4.0,29.20179601894521,"LINESTRING(206211.683894 442572.218836, 206115.371177 442486.939887, 206039.577087 442426.582378, 205725.101574 442204.678051)"
3219,양재대로,1220000600,구룡마을입구,개포3.4단지,612.0,4.0,31.571777745775734,"LINESTRING(205732.020141 442194.873285, 206046.7801 442416.978328, 206123.091626 442477.747888, 206219.638926 442563.234546)"
3220,양재대로,1220000700,일원터널,개포3.4단지,618.0,4.0,30.064432979710702,"LINESTRING(206676.852141 442979.124435, 206629.22846 442941.144098, 206211.688632 442572.223027)"
3221,양재대로,1220000800,개포3.4단지,일원터널,617.0,4.0,36.10413957693292,"LINESTRING(206219.634188 442563.230355, 206636.947188 442931.95101, 206684.334225 442969.742622)"
3222,양재대로,1220012800,삼성서울병원,일원터널,632.0,4.0,43.82302016129032,"LINESTRING(207234.41529 443269.174942, 207119.959237 443226.634147, 206965.925824 443161.57224, 206846.111308 443095.986833, 206739.556583 443027.107683, 206676.946983 442979.198528)"
3223,양재대로,1220012900,일원터널,삼성서울병원,628.0,4.0,31.935870343701996,"LINESTRING(206684.239383 442969.668528, 206746.470889 443017.288364, 206852.257701 443085.671119, 206971.154772 443150.754324, 207124.386323 443215.477535, 207238.595994 443257.926755)"
3224,양재대로,1220014400,일원1동주민센터앞,삼성서울병원,612.0,4.0,29.301432531682032,"LINESTRING(207807.66213 443483.657643, 207635.684412 443419.311465, 207463.706694 443354.965288, 207234.403069 443269.170385)"
3225,양재대로,1220014500,삼성서울병원,일원1동주민센터앞,612.0,4.0,40.386034914234514,"LINESTRING(207238.608215 443257.931312, 207410.585933 443322.27749, 207582.563651 443386.623667, 207811.867276 443472.41857)"
3226,양재대로,1220017000,수서IC,일원1동주민센터앞,811.0,4.0,35.6766101670507,"LINESTRING(208591.9496 443677.168513, 208236.465602 443619.876714, 208148.763297 443602.707694, 208070.399597 443580.770487, 208020.078633 443563.14701, 207807.661832 443483.657531)"
3227,양재대로,1220017100,일원1동주민센터앞,수서IC,809.0,3.0,46.00867828341014,"LINESTRING(207811.867574 443472.418682, 208024.165182 443551.863557, 208074.00396 443569.318162, 208151.537865 443591.023075, 208238.574965 443608.061872, 208356.352589 443627.072058, 208593.857562 443665.321163)"
3228,양재대로,1220018800,탄천교,수서IC,603.0,4.0,49.04075352822581,"LINESTRING(209161.665688 443869.205993, 208790.659043 443722.999232, 208680.010324 443691.748537, 208591.92352 443677.164254)"
3229,양재대로,1220018900,수서IC,탄천교,606.0,3.0,28.740772465437786,"LINESTRING(208593.883642 443665.325422, 208682.629265 443680.018784, 208794.499289 443711.614414, 209166.065353 443858.041632)"
3230,양재대로,1230011500,가락시장사거리,탄천교,1002.0,4.0,29.947604726702508,"LINESTRING(210079.682832 444263.992554, 210016.2392 444220.720058, 209921.978535 444167.051023, 209161.677013 443869.210443)"
3231,양재대로,1230011600,탄천교,가락시장사거리,1005.0,4.0,27.48509140584998,"LINESTRING(209166.054027 443858.037182, 209927.162687 444156.19395, 210022.599203 444210.532479, 210086.444524 444254.078952)"
3232,양재대로,1230013300,신가초교앞,가락시장사거리,505.0,4.0,27.72827358550947,"LINESTRING(210497.247644 444548.821081, 210371.978143 444463.372484, 210246.708643 444377.923887, 210079.682642 444263.992425)"
3233,양재대로,1230013400,가락시장사거리,신가초교앞,505.0,4.0,20.92210323060676,"LINESTRING(210086.444714 444254.079081, 210211.714214 444339.527678, 210336.983715 444424.976275, 210504.009716 444538.907737)"
3234,양재대로,1230015900,오금사거리,신가초교앞,672.0,4.0,24.76067477918587,"LINESTRING(210931.413071 445050.990748, 210875.044084 444937.45107, 210814.642401 444848.750307, 210712.435675 444739.445081, 210555.908751 444594.903958, 210496.923002 444548.583302)"
3235,양재대로,1230016000,신가초교앞,오금사거리,677.0,4.0,41.244150217613935,"LINESTRING(210504.334358 444539.145516, 210563.697367 444585.762429, 210720.900123 444730.927634, 210824.039925 444841.230739, 210885.426208 444931.377402, 210942.161333 445045.654564)"
3236,양재대로,1230019700,방이역,오금사거리,470.0,4.0,44.759210861495134,"LINESTRING(211136.560616 445473.955584, 211075.009037 445347.051227, 211013.457459 445220.14687, 210931.388688 445050.941061)"
3237,양재대로,1230019800,오금사거리,방이역,470.0,4.0,26.192858790962624,"LINESTRING(210942.185716 445045.70425, 211003.737295 445172.608607, 211065.288873 445299.512964, 211147.357644 445468.718773)"
3238,양재대로,1230023300,올림픽공원,방이역,392.0,4.0,26.03318926811316,"LINESTRING(211312.105589 445824.010318, 211259.452636 445719.015265, 211206.799683 445614.020213, 211136.595746 445474.026809)"
3239,양재대로,1230023400,방이역,올림픽공원,392.0,4.0,33.510757248463904,"LINESTRING(211147.322513 445468.647547, 211199.975466 445573.642599, 211252.628419 445678.637652, 211322.832356 445818.631055)"
3240,양재대로,1230028700,둔촌사거리,올림픽공원,1187.0,4.0,30.095976118471583,"LINESTRING(211830.416663 446889.065613, 211780.428778 446723.639974, 211755.510438 446665.043777, 211312.161434 445824.118905)"
3241,양재대로,1230028800,올림픽공원,둔촌사거리,1189.0,4.0,25.436126128072196,"LINESTRING(211322.776511 445818.522467, 211766.35817 446659.888627, 211791.727061 446719.544308, 211841.903672 446885.594499)"
3242,양재대로,1240005900,둔촌동역,둔촌사거리,858.0,5.0,24.89719104422683,"LINESTRING(212072.401748 447712.289351, 211999.802337 447465.309193, 211927.202925 447218.329035, 211830.403711 446889.022157)"
3243,양재대로,1240006000,둔촌사거리,둔촌동역,858.0,4.0,39.64402764176907,"LINESTRING(211841.916624 446885.637955, 211914.516035 447132.618113, 211987.115446 447379.598272, 212083.914661 447708.905149)"
3244,양재대로,1240008100,길동사거리,둔촌동역,599.0,4.0,30.438254904313872,"LINESTRING(212244.227684 448286.118073, 212192.682486 448113.978163, 212141.137289 447941.838253, 212072.410358 447712.318373)"
3245,양재대로,1240008200,둔촌동역,길동사거리,599.0,5.0,27.29406702828981,"LINESTRING(212083.906051 447708.876128, 212135.451249 447881.016038, 212186.996446 448053.155948, 212255.723377 448282.675828)"
3246,양재대로,1240010100,천동초교입구,길동사거리,811.0,3.0,20.482216805875574,"LINESTRING(212472.947623 449063.627036, 212276.789906 448402.397464, 212244.197811 448286.01496)"
3247,양재대로,1240010200,길동사거리,천동초교입구,810.0,3.0,25.46079061059908,"LINESTRING(212255.75325 448282.778941, 212288.320529 448399.072827, 212484.452073 449060.214172)"
3248,양재대로,1240012900,굽은다리역,천동초교입구,624.0,2.0,26.217783866167437,"LINESTRING(212648.715797 449662.701725, 212595.983819 449482.974146, 212543.251841 449303.246568, 212472.942537 449063.609796)"
3249,양재대로,1240013000,천동초교입구,굽은다리역,624.0,2.0,28.17964543330773,"LINESTRING(212484.457159 449060.231412, 212537.189137 449239.958991, 212589.921115 449419.686569, 212660.230419 449659.323341)"
3250,양재대로,1240016500,명일역,굽은다리역,499.0,2.0,23.275642657130057,"LINESTRING(212717.022266 450155.929397, 212696.474568 450007.701495, 212675.92687 449859.473592, 212648.529939 449661.836389)"
3251,양재대로,1240016600,굽은다리역,명일역,499.0,2.0,24.80869912474398,"LINESTRING(212660.416277 449660.188677, 212680.963976 449808.416579, 212701.511674 449956.644482, 212728.908605 450154.281685)"
3252,양재대로,1240020100,동부기술교육원,명일역,435.0,2.0,23.36216765873016,"LINESTRING(212754.293396 450589.44884, 212726.11067 450317.347551, 212719.195668 450169.083373, 212717.045847 450156.084558)"
3253,양재대로,1240020200,명일역,동부기술교육원,436.0,2.0,20.48856690828213,"LINESTRING(212728.885024 450154.126525, 212731.149811 450167.820484, 212738.081814 450316.449158, 212766.229543 450588.212561)"
3254,양재대로,1240022700,명덕초교,동부기술교육원,212.0,3.0,17.287412994431644,"LINESTRING(212781.09029 450799.647609, 212773.056096 450736.630179, 212765.021903 450673.612748, 212754.309645 450589.589508)"
3255,양재대로,1240022800,동부기술교육원,명덕초교,212.0,3.0,24.190054411482336,"LINESTRING(212766.213294 450588.071893, 212774.247487 450651.089323, 212782.28168 450714.106753, 212792.993938 450798.129994)"
3256,양재대로,1240024700,암사정수센터,명덕초교,239.0,3.0,27.45270354902714,"LINESTRING(212737.994114 451021.009831, 212765.327778 450991.739377, 212778.689519 450968.235186, 212789.275686 450939.029658, 212793.639412 450910.548434, 212791.491713 450885.834572, 212781.085338 450799.607701)"
3257,양재대로,1240024800,명덕초교,암사정수센터,249.0,3.0,29.354817044290833,"LINESTRING(212792.99889 450798.169902, 212803.429294 450884.595869, 212805.718951 450910.943256, 212800.958863 450942.011454, 212789.624511 450973.281105, 212775.062037 450998.897465, 212746.764598 451029.199984)"
3258,양재대로156길,1240023300,명덕초교,배재중학교,375.0,1.0,28.56206301203277,"LINESTRING(212786.331139 450795.793303, 212956.14852 450775.527871, 213038.525742 450769.369017, 213160.232765 450765.568121)"
3259,양재대로156길,1240023400,배재중학교,명덕초교,374.0,1.0,24.597624671979005,"LINESTRING(213160.034895 450771.26537, 213038.588219 450775.058136, 212956.734949 450781.177817, 212787.180643 450801.411854)"
