아티스트,제목,곡의 빠르기,잡음,진폭의 변화,주파수의 밝기,파워,X,Y
Supreme Team,말 좀 해줘 (Feat. Soulman),0.47574580447627257,0.7503512924345956,0.5359484975215312,0.6076225850708368,0.6409405967984632,62.7335695560329,55.81417272322886
The Quiett,"Airplane Music (Feat. Basick, Rimi, Beenzino, Fana＆San E)",0.6654853730091297,0.33974150679384413,0.2758022997139273,0.2724928285958168,0.8062947414489827,43.203289426662906,49.04567996898833
TWICE,CRUEL,0.5681621000271329,0.6087810395227846,0.9633312097466384,0.9471668628928898,0.9464066632555003,73.9168430378707,76.48832248165873
TWICE,TT,0.6654853730091297,0.5219007272224648,0.7494320897820077,0.7883354005809529,0.7152489003209288,64.21022135374015,69.74626100305834
UZA&SHANE,Kisscuse Me,0.2588771124210463,0.5833544931134321,0.5726025399765582,0.6128800798451028,0.6123833568603065,52.21640713954347,46.02211539301246
W & Whale,R.P.G. Shine,0.2083709341932341,0.5799303242292616,0.500827786841461,0.5890571298517794,0.2605249602211773,45.87700829059393,38.53708854609856
Wanna One(워너원),모래시계 (Prod. 헤이즈),0.16724242015660895,0.11968516918775363,0.11538441355207929,0.11661464987530579,0.5428853181235905,17.034943121672875,17.9553829479255
Wanna One(워너원),영원+1 (Prod. Nell),0.47574580447627257,0.4378249297093799,0.27001733323354815,0.22880162869965115,0.44382146112507076,39.15449084081882,37.8226753260594
YDG,"JaJaJa (Feat. Dynamic Duo, Crush)",0.13409901690031967,0.21841211573628078,0.16367463242704977,0.1937779297751555,0.7798955412788562,24.428692326538737,22.49608849020826
YENA(최예나),Lxxk 2 U,0.9616651879862623,0.9015278034192622,0.9881844014434228,0.9920289826393257,0.7356546345979882,92.33494009773733,94.44269958127796
YUKIKA(유키카),Yesterday,0.2083709341932341,0.3763116887300111,0.5166810730701766,0.5038213876253876,0.843474537709052,43.026466947813056,40.942748846031286
