제품코드,약식품번(제품번호와같이키값으로사용),제품명,규격,"품목자산분류(102201:완제품,102202:반제품,102203:원재료,102204:상품)"
PEMA023048701,808375,CSA5000아산(아산),,102201
PEMA023048800,775244,PEMA-HR1500아산(순천),PEMA21758,102201
PEMA023052200,805080,PEMA-CSA5000영남(포항),PEMA11404,102201
PEMA023054200,807594,PEMA-HR1000영화(경주),,102201
PEMA023054400,808957,CSA5000 예일(예산),,102201
PEMA023056800,780107,PEMA-HR1000OPC우경(진주),PEMA41163,102201
PEMA023058200,805083,PEMA-HR1000유니온(포항),PEMA11618,102201
PEMA023058600,773206,PEMA-500FR유진(강서),,102201
PEMA023058603,806017,PEMA-HR1000유진(동서울),,102201
PEMA023058605,804346,PEMA-HR1000유진(서인천),,102201
PEMA023058622,808663,PEMA-HR1000유진(나주),,102201
PEMA023061000,804590,PEMA-HR1500일진(양평),,102201
PEMA023061900,804664,PEMA-HR1000정도(울진),,102201
PEMA023064500,805957,PEMA-HR1000조양(여수),,102201
PEMA023068500,808896,PEMA-HR1500 진일(양산),,102201
PEMA023069403,805165,PEMA-HR1000천마(홍성),,102201
PEMA023071000,805373,PEMA-SR3000F충주산업(충주),,102201
PEMA023074200,774680,PEMA-HR1000팔마(완주),PEMA20438,102201
PEMA023074700,807770,PEMA-HR1000푸른(장흥),,102201
PEMA023076500,805681,PEMA-HR1000한국(예천),,102201
PEMA023076910,808890,CSA5000경동(대구),,102201
PEMA023077800,806974,PEMA-HR1000한덕(천안),,102201
PEMA023078017,808401,PEMA-HR1500한라(온산),,102201
PEMA023080008,808715,PEMA-PCM2000한일(평택),,102201
PEMA023080100,783666,PEMA-SR3000F한일(대구),PEMA11439,102201
PEMA023080800,808027,PEMA-HR1500한진(김해),,102201
PEMA023083401,807307,PEMA-HR1000한양(무안),,102201
PEMA023083500,804871,PEMA-HR1000현림(평창),,102201
PEMA023087900,805144,PEMA-HR1500윤성(하빈),,102201
PEMA023089240,808405,CSA5000고려(당진),,102201
PEMA023091600,808238,CSA5000태성(계룡),,102201
PEMA023092101,807328,PEMA-HR1500도현(양산),,102201
PEMA023092200,804810,PEMA-HR1500항도렉스콘(부산),,102201
PEMA023098200,805334,PEMA-580FX세림켐텍,,102201
PEMA023099800,805009,PEMA-HR1000영진(경주),,102201
PEMA023100500,807628,PEMA-HR1000대성(장흥),,102201
PEMA023100800,805105,PEMA-HR1000대종(경주),,102201
PEMA023101600,807720,PEMA-SR3000F쌍용(춘천),,102201
PEMA023103700,808994,CSA5000 고려(화성),,102201
PEMA023104400,808195,PEMA-HR1500대안(옥계),,102201
PEMA023105100,805829,PEMA-HR1000삼우(경산),,102201
PEMA023105210,805853,CSA5000삼우(대구),,102201
PEMA023106100,805633,PEMA-SR3000F우림(하남),,102201
PEMA023106900,806142,CSA5000동원(세종),,102201
PEMA023109400,806904,PEMA-HR1000보광(대구),,102201
PEMA023109700,806106,PEMA-HR1000우진(경주),,102201
PEMA023110500,805953,PEMA-HR1500신아(울산),,102201
PEMA023111400,806030,PEMA-HR1000남부(화순),,102201
PEMA023112800,806332,CSA5000선진(여주),,102201
PEMA023113300,808161,PEMA-HR1500동명(울산),,102201
PEMA023114700,808284,PEMA-HR1500대성(밀양),,102201
PEMA023117000,807334,PEMA-SR3000F알파(공주),,102201
