SOLDDATE,TEMP,HUM,REGION_U
2018-10-16,14.5,55.9,서울
2018-10-17,12.4,53.3,서울
2018-10-18,12.7,59.5,서울
2018-10-19,13.1,54.3,서울
2018-10-20,13.4,53.9,서울
2018-10-21,13.4,49.5,서울
2018-10-22,14.0,50.0,서울
2018-10-23,12.2,75.1,서울
2018-10-24,12.5,66.0,서울
2018-10-25,13.8,55.5,서울
2018-10-26,12.2,74.1,서울
2018-10-27,8.7,49.6,서울
2018-10-28,8.3,77.1,서울
2018-10-29,7.2,57.3,서울
2018-10-30,6.1,51.3,서울
2018-10-31,7.4,55.4,서울
2018-11-01,8.4,53.4,서울
2018-11-02,10.6,54.9,서울
2018-11-03,11.2,56.0,서울
2018-11-04,11.6,55.0,서울
2018-11-05,11.9,65.5,서울
2018-11-06,12.2,70.5,서울
2018-11-07,12.8,79.5,서울
2018-11-08,11.8,93.8,서울
2018-11-09,12.1,69.0,서울
2018-11-10,11.9,69.1,서울
2018-11-11,8.1,67.6,서울
2018-11-12,8.1,52.3,서울
2018-11-13,8.8,51.6,서울
2018-11-14,9.8,55.5,서울
2018-11-15,9.7,55.4,서울
2018-11-16,8.8,65.1,서울
2018-11-17,4.9,50.8,서울
2018-11-18,6.1,48.8,서울
2018-11-19,6.5,50.4,서울
2018-11-20,6.5,39.9,서울
2018-11-21,5.8,57.1,서울
2018-11-22,2.3,35.0,서울
2018-11-23,1.9,29.6,서울
2018-11-24,2.6,71.1,서울
2018-11-25,4.8,77.8,서울
2018-11-26,6.3,70.1,서울
2018-11-27,7.1,65.0,서울
2018-11-28,5.0,27.1,서울
2018-11-29,3.5,41.4,서울
2018-11-30,2.7,46.1,서울
2018-12-01,5.5,42.3,서울
2018-12-02,8.2,50.1,서울
2018-12-03,11.5,87.4,서울
2018-12-04,6.7,74.9,서울
2018-12-05,0.0,39.5,서울
2018-12-06,2.4,50.5,서울
2018-12-07,-7.3,37.1,서울
2018-12-08,-8.3,37.1,서울
2018-12-09,-7.2,27.0,서울
2018-12-10,-2.5,33.3,서울
2018-12-11,0.2,44.8,서울
2018-12-12,-1.9,39.0,서울
2018-12-13,-2.2,57.4,서울
2018-12-14,-4.4,44.3,서울
2018-12-15,-2.4,46.8,서울
2018-12-16,0.0,63.8,서울
2018-12-17,1.6,60.1,서울
2018-12-18,2.6,56.3,서울
2018-12-19,4.0,53.4,서울
2018-12-20,3.4,45.5,서울
2018-12-21,5.6,40.1,서울
2018-12-22,6.9,48.9,서울
2018-12-23,2.4,43.0,서울
2018-12-24,-2.3,35.9,서울
2018-12-25,0.6,53.4,서울
2018-12-26,-1.5,40.8,서울
2018-12-27,-10.1,28.3,서울
2018-12-28,-10.5,33.0,서울
2018-12-29,-7.6,29.0,서울
2018-12-30,-6.8,35.9,서울
2018-12-31,-5.4,39.6,서울
2018-01-01,-3.1,47.3,경기도북부
2018-01-02,-3.5,46.0,경기도북부
2018-01-03,-5.4,42.9,경기도북부
2018-01-04,-6.1,51.5,경기도북부
2018-01-05,-4.7,54.1,경기도북부
2018-01-06,-4.9,52.6,경기도북부
2018-01-07,-3.3,53.6,경기도북부
2018-01-08,0.6,52.8,경기도북부
2018-01-09,-5.0,50.4,경기도북부
2018-01-10,-8.1,50.9,경기도북부
2018-01-11,-11.9,48.9,경기도북부
2018-01-12,-11.6,43.5,경기도북부
2018-01-13,-5.8,60.5,경기도북부
2018-01-14,-0.2,64.1,경기도북부
2018-01-15,3.5,65.0,경기도북부
2018-01-16,1.2,70.0,경기도북부
2018-01-17,2.9,71.5,경기도북부
2018-01-18,0.6,60.0,경기도북부
2018-01-19,-0.3,45.9,경기도북부
2018-01-20,0.6,59.6,경기도북부
2018-01-21,-1.5,45.5,경기도북부
2018-01-22,-1.6,59.3,경기도북부
2018-01-23,-13.0,42.5,경기도북부
2018-01-24,-15.1,33.5,경기도북부
2018-01-25,-15.0,38.3,경기도북부
2018-01-26,-15.8,36.6,경기도북부
2018-01-27,-12.1,47.4,경기도북부
2018-01-28,-7.4,41.0,경기도북부
2018-01-29,-10.0,42.0,경기도북부
2018-01-30,-6.8,61.3,경기도북부
2018-01-31,-3.6,52.4,경기도북부
2018-02-01,-6.1,46.5,경기도북부
2018-02-02,-4.1,48.4,경기도북부
2018-02-03,-7.5,50.0,경기도북부
2018-02-04,-10.4,46.5,경기도북부
2018-02-05,-10.6,41.0,경기도북부
2018-02-06,-10.9,39.9,경기도북부
2018-02-07,-9.9,41.1,경기도북부
2018-02-08,-6.2,44.4,경기도북부
2018-02-09,-1.3,46.9,경기도북부
2018-02-10,-1.3,44.5,경기도북부
2018-02-11,-6.5,38.0,경기도북부
2018-02-12,-6.6,39.8,경기도북부
2018-02-13,-1.5,52.9,경기도북부
2018-02-14,3.6,45.6,경기도북부
2018-02-15,-1.1,25.5,경기도북부
2018-02-16,-2.4,39.9,경기도북부
2018-02-17,-3.1,23.4,경기도북부
2018-02-18,-1.0,25.0,경기도북부
2018-02-19,1.4,42.6,경기도북부
2018-02-20,0.0,41.1,경기도북부
2018-02-21,-1.5,28.8,경기도북부
2018-02-22,1.2,51.0,경기도북부
2018-02-23,3.5,78.4,경기도북부
2018-02-24,1.9,47.3,경기도북부
2018-02-25,1.1,43.5,경기도북부
2018-02-26,1.6,46.6,경기도북부
2018-02-27,2.2,52.6,경기도북부
2018-02-28,3.3,71.4,경기도북부
2018-03-01,-0.7,61.1,경기도북부
2018-03-02,-1.6,42.8,경기도북부
2018-03-03,7.3,39.3,경기도북부
2018-03-04,8.3,83.8,경기도북부
2018-03-05,4.0,66.0,경기도북부
2018-03-06,3.1,54.5,경기도북부
2018-03-07,5.3,52.5,경기도북부
2018-03-08,4.3,74.6,경기도북부
2018-03-09,5.0,55.9,경기도북부
2018-03-10,3.8,66.8,경기도북부
2018-03-11,6.1,52.3,경기도북부
2018-03-12,7.0,49.8,경기도북부
2018-03-13,11.0,62.0,경기도북부
2018-03-14,16.4,59.6,경기도북부
2018-03-15,11.8,88.5,경기도북부
2018-03-16,5.8,50.6,경기도북부
2018-03-17,6.0,51.8,경기도북부
2018-03-18,6.6,59.4,경기도북부
2018-03-19,7.6,60.8,경기도북부
2018-03-20,4.4,38.9,경기도북부
2018-03-21,2.8,40.9,경기도북부
2018-03-22,5.3,51.1,경기도북부
2018-03-23,5.5,53.8,경기도북부
2018-03-24,7.9,57.8,경기도북부
2018-03-25,9.9,60.0,경기도북부
2018-03-26,9.7,61.6,경기도북부
2018-03-27,12.1,60.4,경기도북부
2018-03-28,12.9,66.3,경기도북부
2018-03-29,15.2,59.6,경기도북부
2018-03-30,13.8,55.0,경기도북부
2018-03-31,13.5,57.0,경기도북부
2018-04-01,15.3,63.3,경기도북부
2018-04-02,18.1,63.4,경기도북부
2018-04-03,17.3,72.1,경기도북부
2018-04-04,11.4,65.5,경기도북부
2018-04-05,6.6,79.6,경기도북부
2018-04-06,5.6,68.3,경기도북부
2018-04-07,4.6,40.1,경기도북부
2018-04-08,1.9,65.6,경기도북부
2018-04-09,6.9,59.6,경기도북부
2018-04-10,14.3,52.9,경기도북부
2018-04-11,12.5,47.8,경기도북부
2018-04-12,12.8,30.9,경기도북부
2018-04-13,14.0,26.3,경기도북부
2018-04-14,8.7,77.6,경기도북부
2018-04-15,9.3,65.3,경기도북부
2018-04-16,11.1,46.4,경기도북부
2018-04-17,12.0,43.8,경기도북부
2018-04-18,12.3,40.4,경기도북부
2018-04-19,13.4,45.8,경기도북부
2018-04-20,17.7,49.3,경기도북부
2018-04-21,17.7,37.9,경기도북부
2018-04-22,14.0,50.3,경기도북부
2018-04-23,9.2,83.9,경기도북부
2018-04-24,11.6,56.4,경기도북부
2018-04-25,14.7,42.3,경기도북부
2018-04-26,14.9,52.0,경기도북부
2018-04-27,15.8,56.3,경기도북부
2018-04-28,15.3,49.4,경기도북부
2018-04-29,15.3,47.0,경기도북부
2018-04-30,17.9,61.8,경기도북부
2018-05-01,19.7,71.6,경기도북부
2018-05-02,13.1,86.0,경기도북부
2018-05-03,10.5,66.1,경기도북부
2018-05-04,14.7,43.3,경기도북부
2018-05-05,18.0,47.4,경기도북부
2018-05-06,16.0,83.3,경기도북부
2018-05-07,18.5,58.0,경기도북부
2018-05-08,15.8,54.3,경기도북부
2018-05-09,14.5,52.9,경기도북부
2018-05-10,15.0,66.6,경기도북부
2018-05-11,16.0,60.8,경기도북부
2018-05-12,13.0,83.3,경기도북부
2018-05-13,16.5,79.3,경기도북부
2018-05-14,17.6,76.5,경기도북부
2018-05-15,22.1,60.6,경기도북부
2018-05-16,20.7,91.9,경기도북부
2018-05-17,19.8,92.5,경기도북부
2018-05-18,13.8,79.8,경기도북부
2018-05-19,17.0,48.5,경기도북부
2018-05-20,15.6,39.3,경기도북부
2018-05-21,17.1,47.3,경기도북부
2018-05-22,16.7,78.0,경기도북부
2018-05-23,16.9,60.8,경기도북부
2018-05-24,17.3,52.3,경기도북부
2018-05-25,18.9,52.6,경기도북부
2018-05-26,21.1,59.0,경기도북부
2018-05-27,20.2,57.9,경기도북부
2018-05-28,21.0,60.0,경기도북부
2018-05-29,21.0,69.3,경기도북부
2018-05-30,20.3,68.9,경기도북부
2018-05-31,20.8,61.1,경기도북부
2018-06-01,23.5,55.5,경기도북부
2018-06-02,23.0,49.1,경기도북부
2018-06-03,22.3,47.0,경기도북부
2018-06-04,21.7,52.8,경기도북부
2018-06-05,22.5,57.8,경기도북부
2018-06-06,22.2,65.6,경기도북부
2018-06-07,21.4,74.0,경기도북부
2018-06-08,21.5,71.1,경기도북부
2018-06-09,22.4,63.3,경기도북부
2018-06-10,19.5,66.9,경기도북부
2018-06-11,19.0,67.9,경기도북부
2018-06-12,20.6,66.6,경기도북부
2018-06-13,21.3,69.3,경기도북부
2018-06-14,19.9,82.9,경기도북부
2018-06-15,20.0,67.5,경기도북부
2018-06-16,20.8,63.3,경기도북부
2018-06-17,21.6,73.0,경기도북부
2018-06-18,23.6,64.3,경기도북부
2018-06-19,21.2,68.0,경기도북부
2018-06-20,22.0,71.0,경기도북부
2018-06-21,23.3,61.9,경기도북부
2018-06-22,23.8,52.3,경기도북부
2018-06-23,22.9,56.6,경기도북부
2018-06-24,24.0,65.3,경기도북부
2018-06-25,25.2,64.1,경기도북부
2018-06-26,21.3,88.1,경기도북부
2018-06-27,21.9,84.8,경기도북부
2018-06-28,22.8,82.4,경기도북부
2018-06-29,24.2,78.9,경기도북부
2018-06-30,24.5,78.3,경기도북부
2018-07-01,21.4,90.9,경기도북부
2018-07-02,22.0,93.3,경기도북부
2018-07-03,25.5,82.5,경기도북부
2018-07-04,26.8,74.4,경기도북부
2018-07-05,23.5,78.6,경기도북부
2018-07-06,22.1,64.0,경기도북부
2018-07-07,21.7,59.6,경기도북부
2018-07-08,21.8,57.8,경기도북부
2018-07-09,19.6,83.5,경기도북부
2018-07-10,22.8,90.9,경기도북부
2018-07-11,25.1,92.3,경기도북부
2018-07-12,25.3,89.6,경기도북부
2018-07-13,25.9,83.3,경기도북부
2018-07-14,26.6,76.6,경기도북부
2018-07-15,27.3,75.1,경기도북부
2018-07-16,27.3,70.3,경기도북부
2018-07-17,26.8,70.8,경기도북부
2018-07-18,26.5,74.0,경기도북부
2018-07-19,27.0,72.0,경기도북부
2018-07-20,27.4,71.9,경기도북부
2018-07-21,28.4,65.8,경기도북부
2018-07-22,29.3,63.5,경기도북부
2018-07-23,29.3,67.5,경기도북부
2018-07-24,30.0,68.9,경기도북부
2018-07-25,28.9,72.1,경기도북부
2018-07-26,29.0,76.4,경기도북부
2018-07-27,30.1,75.0,경기도북부
2018-07-28,28.5,80.9,경기도북부
2018-07-29,29.5,61.8,경기도북부
2018-07-30,29.4,62.3,경기도북부
2018-07-31,29.8,66.0,경기도북부
2018-08-01,31.7,65.6,경기도북부
2018-08-02,31.9,65.1,경기도북부
2018-08-03,31.4,67.3,경기도북부
2018-08-04,29.7,69.5,경기도북부
2018-08-05,29.4,76.4,경기도북부
2018-08-06,29.2,76.5,경기도북부
2018-08-07,29.6,71.4,경기도북부
2018-08-08,29.6,73.6,경기도북부
2018-08-09,27.5,82.8,경기도북부
2018-08-10,29.2,68.8,경기도북부
2018-08-11,29.4,61.3,경기도북부
2018-08-12,28.9,67.8,경기도북부
2018-08-13,28.9,76.8,경기도북부
2018-08-14,28.9,75.0,경기도북부
2018-08-15,28.8,73.9,경기도북부
2018-08-16,27.5,60.3,경기도북부
2018-08-17,25.1,48.6,경기도북부
2018-08-18,24.3,59.3,경기도북부
2018-08-19,25.6,63.6,경기도북부
2018-08-20,27.5,63.3,경기도북부
2018-08-21,24.6,80.1,경기도북부
2018-08-22,27.8,67.9,경기도북부
2018-08-23,26.3,73.8,경기도북부
2018-08-24,23.4,86.8,경기도북부
2018-08-25,24.5,74.3,경기도북부
2018-08-26,23.4,71.8,경기도북부
2018-08-27,23.8,79.5,경기도북부
2018-08-28,23.9,86.5,경기도북부
2018-08-29,22.8,92.5,경기도북부
2018-08-30,24.6,83.8,경기도북부
2018-08-31,24.2,74.5,경기도북부
2018-09-01,24.0,66.0,경기도북부
2018-09-02,23.4,63.5,경기도북부
2018-09-03,22.3,86.1,경기도북부
2018-09-04,22.5,71.9,경기도북부
2018-09-05,22.4,66.9,경기도북부
2018-09-06,22.5,71.6,경기도북부
2018-09-07,20.5,66.3,경기도북부
2018-09-08,19.2,62.4,경기도북부
2018-09-09,20.1,59.9,경기도북부
2018-09-10,20.1,63.6,경기도북부
2018-09-11,19.8,59.8,경기도북부
2018-09-12,21.0,62.1,경기도북부
2018-09-13,21.3,72.0,경기도북부
2018-09-14,22.2,73.6,경기도북부
2018-09-15,22.8,77.5,경기도북부
2018-09-16,21.8,82.9,경기도북부
2018-09-17,21.2,65.0,경기도북부
2018-09-18,20.3,68.1,경기도북부
2018-09-19,19.5,75.8,경기도북부
2018-09-20,18.4,82.6,경기도북부
2018-09-21,18.9,84.5,경기도북부
2018-09-22,19.6,66.8,경기도북부
2018-09-23,17.1,65.9,경기도북부
2018-09-24,15.4,57.1,경기도북부
2018-09-25,15.5,61.6,경기도북부
2018-09-26,17.2,60.5,경기도북부
